ID;NOMBRE;TIPO_C;COMUNA;BARRIO;CATEGORIA;TIPOLOGIA;LONG;FECHA;LIM_COM;LIM_BARRIO
0;GONZALEZ, ELPIDIO;CALLE;COMUNA 10;MONTECASTRO;CICLOVIA;BIDIRECCIONAL;1,57445561287;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
1;DEAN FUNES;CALLE;COMUNA 3;SAN CRISTOBAL;CICLOVIA;BIDIRECCIONAL;0,78632389654;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
2;GARCIA, JUAN AGUSTIN;CALLE;COMUNA 11;VILLA SANTA RITA;CICLOVIA;BIDIRECCIONAL;1,37277552386;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
3;BALBASTRO;CALLE;COMUNA 7;FLORES;CICLOVIA;BIDIRECCIONAL;0,56114149481;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
4;IBERA;CALLE;COMUNA 13;NU├æEZ;CICLOVIA;BIDIRECCIONAL;0,70160471745;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
5;CUBA;CALLE;COMUNA 13;NU├æEZ;CICLOVIA;BIDIRECCIONAL;1,18163854262;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
6;MANUELA PEDRAZA;CALLE;COMUNA 13;NU├æEZ;CICLOVIA;BIDIRECCIONAL;0,60346570847;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
7;PAVON;CALLE;COMUNA 1;CONSTITUCION;CICLOVIA;BIDIRECCIONAL;0,55690464954;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
8;GUATEMALA;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,80776120864;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
9;BEIRO, FRANSISCO AV.;AVENIDA;COMUNA 15;AGRONOMIA;BICISENDA;BIDIRECCIONAL;0,52004029315;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
10;ESTADO PLURINACIONAL DE BOLIVIA;CALLE;COMUNA 12;VILLA PUEYRREDON;CICLOVIA;BIDIRECCIONAL;0,96952752833;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
11;NUEVA YORK;CALLE;COMUNA 15;AGRONOMIA;CICLOVIA;BIDIRECCIONAL;1,61011241835;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
12;IRIGOYEN, BERNARDO DE;CALLE;COMUNA 1;MONSERRAT;CICLOVIA;BIDIRECCIONAL;0,51782818746;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
13;PELLEGRINI, CARLOS;CALLE;COMUNA 1;SAN NICOLAS;CICLOVIA;BIDIRECCIONAL;0,25450561340;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
14;PERON, JUAN DOMINGO, TTE, GRAL.;CALLE;COMUNA 1;SAN NICOLAS;CICLOVIA;UNIDIRECCIONAL;1,17699311256;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
15;ADOLFO ALSINA;CALLE;COMUNA 3;BALVANERA;CICLOVIA;BIDIRECCIONAL;1,39370645072;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
16;TACUARI;CALLE;COMUNA 1;CONSTITUCION;CICLOVIA;BIDIRECCIONAL;1,18292017209;2016;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
17;SUIPACHA;CALLE;COMUNA 1;SAN NICOLAS;CICLOVIA;BIDIRECCIONAL;0,78170158909;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
18;ALVEAR, MARCELO T. DE;CALLE;COMUNA 2;RECOLETA;CICLOVIA;BIDIRECCIONAL;1,08551335354;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
19;BOUCHARD;CALLE;COMUNA 1;SAN NICOLAS;CICLOVIA;BIDIRECCIONAL;0,39228378923;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
